Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,10/28/15,,NYK,L,97,122,30,86,0.349,9,18,0.5,28,31,0.903,18,47,17,7,4,18,27,,42,93,0.452,9,23,0.391,29,35,0.829,19,49,24,11,7,11,28
2,2,10/30/15,,WAS,L,113,118,42,82,0.512,7,24,0.292,22,28,0.786,6,32,33,9,2,16,32,,35,68,0.515,12,21,0.571,36,44,0.818,8,37,25,7,5,21,20
3,3,11/1/15,@,TOR,L,87,106,29,69,0.42,5,19,0.263,24,24,1,7,33,21,6,8,18,21,,41,90,0.456,11,25,0.44,13,20,0.65,18,46,22,12,3,13,19
4,4,11/2/15,@,BRK,W,103,96,38,73,0.521,9,23,0.391,18,26,0.692,8,36,24,6,7,14,23,,36,79,0.456,6,19,0.316,18,22,0.818,10,35,21,3,4,18,23
5,5,11/4/15,,PHI,W,91,87,35,86,0.407,8,23,0.348,13,17,0.765,8,36,24,6,4,10,19,,34,81,0.42,6,28,0.214,13,15,0.867,12,51,23,4,9,18,23
6,6,11/6/15,@,NYK,W,99,92,35,81,0.432,3,14,0.214,26,29,0.897,13,41,21,6,5,12,24,,33,81,0.407,4,24,0.167,22,28,0.786,14,43,20,3,5,15,22
7,7,11/7/15,,BRK,W,94,86,37,82,0.451,8,20,0.4,12,16,0.75,10,41,27,9,6,15,16,,34,82,0.415,3,9,0.333,15,19,0.789,17,52,18,11,3,18,18
8,8,11/10/15,,BOS,L,83,99,30,73,0.411,6,17,0.353,17,23,0.739,9,41,14,10,2,17,18,,38,86,0.442,7,30,0.233,16,19,0.842,14,45,21,11,6,12,18
9,9,11/11/15,@,DEN,L,102,103,42,79,0.532,10,22,0.455,8,9,0.889,8,33,26,8,4,16,23,,39,79,0.494,8,24,0.333,17,24,0.708,14,36,27,10,6,14,12
10,10,11/14/15,,CLE,W,108,105,43,102,0.422,6,16,0.375,16,22,0.727,15,51,20,6,9,12,25,,37,91,0.407,14,38,0.368,17,27,0.63,14,54,21,6,8,20,24
11,11,11/17/15,@,WAS,L,86,115,31,72,0.431,10,21,0.476,14,24,0.583,6,34,22,5,3,19,27,,37,70,0.529,12,22,0.545,29,41,0.707,6,42,25,8,3,12,19
12,12,11/19/15,@,CLE,L,100,115,38,73,0.521,3,8,0.375,21,26,0.808,6,22,22,8,2,11,29,,40,71,0.563,11,24,0.458,24,30,0.8,13,43,29,3,2,17,24
13,13,11/21/15,@,IND,L,86,123,34,79,0.43,5,17,0.294,13,19,0.684,13,43,19,9,5,23,19,,47,91,0.516,15,30,0.5,14,23,0.609,11,42,28,15,5,14,13
14,14,11/23/15,,DET,W,109,88,43,83,0.518,9,13,0.692,14,17,0.824,12,45,30,12,4,12,23,,31,91,0.341,6,28,0.214,20,24,0.833,22,48,19,7,3,17,18
15,15,11/25/15,,SAC,L,118,129,42,88,0.477,13,31,0.419,21,27,0.778,10,37,30,7,7,11,22,,44,77,0.571,10,23,0.435,31,37,0.838,7,42,23,9,7,8,19
16,16,11/27/15,@,ORL,L,90,114,31,74,0.419,8,26,0.308,20,22,0.909,6,38,20,8,2,21,20,,43,82,0.524,12,27,0.444,16,22,0.727,8,41,30,9,5,18,18
17,17,11/29/15,@,CHO,L,82,87,33,82,0.402,8,28,0.286,8,14,0.571,13,46,25,9,2,14,24,,27,70,0.386,15,31,0.484,18,22,0.818,7,43,20,6,6,13,16
18,18,11/30/15,,DEN,W,92,74,35,77,0.455,6,18,0.333,16,22,0.727,8,38,25,10,12,13,19,,28,75,0.373,6,19,0.316,12,16,0.75,10,43,19,6,4,22,20
19,19,12/2/15,@,SAS,L,70,95,26,78,0.333,3,14,0.214,15,18,0.833,6,44,17,7,6,16,20,,37,90,0.411,7,21,0.333,14,20,0.7,11,54,25,11,9,11,12
20,20,12/4/15,@,DET,L,95,102,39,87,0.448,4,18,0.222,13,14,0.929,9,51,21,6,6,14,33,,34,82,0.415,7,23,0.304,27,39,0.692,8,46,18,8,4,9,11
21,21,12/5/15,,NYK,W,106,91,44,89,0.494,2,4,0.5,16,24,0.667,13,49,25,5,6,13,22,,32,76,0.421,6,25,0.24,21,28,0.75,6,37,22,4,4,15,24
22,22,12/7/15,,POR,W,90,88,30,73,0.411,4,13,0.308,26,33,0.788,10,45,22,8,7,16,19,,33,85,0.388,8,33,0.242,14,18,0.778,15,46,21,10,7,17,25
23,23,12/9/15,,LAC,L,95,109,42,90,0.467,2,10,0.2,9,12,0.75,7,40,26,7,1,11,29,,38,81,0.469,12,28,0.429,21,36,0.583,12,51,27,7,8,14,16
24,24,12/11/15,@,TOR,L,83,90,33,80,0.413,4,11,0.364,13,16,0.813,10,40,19,9,4,15,19,,34,70,0.486,7,20,0.35,15,23,0.652,7,39,16,9,8,16,23
25,25,12/12/15,,GSW,W,108,95,44,90,0.489,6,14,0.429,14,18,0.778,8,44,31,12,4,16,24,,36,89,0.404,6,27,0.222,17,25,0.68,15,49,23,9,8,16,20
26,26,12/15/15,@,LAL,L,95,113,40,85,0.471,4,13,0.308,11,20,0.55,12,38,23,7,7,11,20,,41,89,0.461,10,27,0.37,21,25,0.84,18,52,26,7,3,14,18
27,27,12/16/15,@,LAC,L,90,103,38,88,0.432,5,16,0.313,9,11,0.818,15,41,21,9,6,11,21,,36,75,0.48,11,21,0.524,20,24,0.833,10,40,25,7,4,14,10
28,28,12/18/15,@,GSW,L,112,121,42,91,0.462,4,18,0.222,24,28,0.857,14,41,25,6,7,16,29,,42,87,0.483,9,26,0.346,28,37,0.757,15,46,31,7,4,15,22
29,29,12/20/15,@,PHO,W,101,95,41,79,0.519,5,16,0.313,14,24,0.583,6,37,25,8,6,13,23,,33,74,0.446,8,18,0.444,21,24,0.875,6,39,18,8,2,20,22
30,30,12/23/15,,PHI,W,113,100,51,85,0.6,5,12,0.417,6,8,0.75,5,34,34,14,12,16,22,,37,81,0.457,7,20,0.35,19,29,0.655,13,41,24,12,7,22,14
31,31,12/26/15,,TOR,L,90,111,34,81,0.42,6,14,0.429,16,18,0.889,9,38,25,3,5,13,17,,42,81,0.519,13,29,0.448,14,19,0.737,9,44,31,7,10,8,17
32,32,12/28/15,@,DAL,L,93,103,38,79,0.481,4,14,0.286,13,15,0.867,9,52,14,4,5,17,22,,38,84,0.452,10,22,0.455,17,26,0.654,6,34,25,9,2,4,15
33,33,12/29/15,@,OKC,L,123,131,49,100,0.49,10,16,0.625,15,22,0.682,18,47,29,6,5,14,26,,43,86,0.5,8,22,0.364,37,40,0.925,11,41,21,12,7,11,19
34,34,12/31/15,@,IND,W,120,116,45,77,0.584,6,14,0.429,24,35,0.686,6,34,18,12,10,16,25,,41,82,0.5,13,30,0.433,21,26,0.808,7,35,27,9,6,19,25
35,35,1/2/16,@,MIN,W,95,85,32,75,0.427,8,16,0.5,23,28,0.821,11,48,20,7,5,13,18,,33,84,0.393,3,14,0.214,16,24,0.667,16,47,19,10,6,16,18
36,36,1/4/16,,SAS,L,98,123,37,77,0.481,3,12,0.25,21,30,0.7,10,35,23,6,5,15,18,,49,90,0.544,9,20,0.45,16,20,0.8,13,44,32,11,5,13,20
37,37,1/5/16,@,CHI,L,106,117,46,102,0.451,6,16,0.375,8,14,0.571,17,43,28,9,3,10,19,,46,83,0.554,5,19,0.263,20,20,1,7,45,27,5,10,15,11
38,38,1/8/16,,DAL,W,96,95,37,80,0.463,4,9,0.444,18,29,0.621,15,43,24,11,4,15,20,,35,84,0.417,14,44,0.318,11,16,0.688,16,42,27,6,5,16,21
39,39,1/10/16,@,NYK,L,88,100,32,80,0.4,3,13,0.231,21,30,0.7,14,42,19,7,4,11,16,,39,84,0.464,7,24,0.292,15,18,0.833,12,43,25,5,7,11,21
40,40,1/12/16,,CHI,W,106,101,43,93,0.462,3,13,0.231,17,28,0.607,14,40,28,11,9,5,19,,35,85,0.412,12,29,0.414,19,24,0.792,20,57,22,3,8,17,25
41,41,1/13/16,@,WAS,L,101,106,38,72,0.528,1,8,0.125,24,34,0.706,10,47,23,10,2,27,21,,38,84,0.452,12,27,0.444,18,24,0.75,9,30,27,18,4,16,26
42,42,1/15/16,,ATL,W,108,101,40,96,0.417,3,10,0.3,25,37,0.676,21,60,19,9,13,16,14,,43,100,0.43,9,30,0.3,6,6,1,7,43,29,5,9,17,25
43,43,1/16/16,@,CHO,W,105,92,39,72,0.542,5,12,0.417,22,26,0.846,6,46,23,3,11,15,15,,33,87,0.379,9,36,0.25,17,22,0.773,13,35,27,8,2,5,20
44,44,1/19/16,@,MIA,W,91,79,36,74,0.486,5,12,0.417,14,16,0.875,7,39,19,6,4,17,19,,27,74,0.365,5,22,0.227,20,26,0.769,12,38,13,6,2,14,14
45,45,1/22/16,@,HOU,L,98,102,39,85,0.459,3,14,0.214,17,22,0.773,14,48,30,7,10,15,17,,38,94,0.404,15,44,0.341,11,16,0.688,15,42,27,10,10,11,21
46,46,1/23/16,@,NOP,L,99,116,39,74,0.527,6,15,0.4,15,18,0.833,6,43,20,3,6,18,20,,43,94,0.457,17,31,0.548,13,17,0.765,12,41,33,10,4,8,17
47,47,1/26/16,,ORL,W,107,100,38,77,0.494,5,13,0.385,26,31,0.839,11,45,22,5,7,12,23,,33,80,0.413,13,24,0.542,21,29,0.724,12,39,22,6,4,11,22
48,48,1/28/16,@,MEM,L,83,103,29,79,0.367,1,16,0.063,24,27,0.889,16,46,17,8,3,14,16,,38,80,0.475,10,28,0.357,17,20,0.85,9,37,28,7,5,11,23
49,49,1/29/16,,MIA,L,103,107,38,80,0.475,2,12,0.167,25,28,0.893,13,40,18,10,5,19,20,,37,74,0.5,7,18,0.389,26,32,0.813,8,34,27,12,9,17,23
50,50,2/1/16,@,SAC,L,104,111,42,84,0.5,8,20,0.4,12,17,0.706,10,37,27,11,5,15,27,,39,86,0.453,9,26,0.346,24,30,0.8,18,53,21,7,3,16,17
51,51,2/2/16,@,POR,L,95,107,38,86,0.442,5,14,0.357,14,24,0.583,12,43,23,7,4,13,18,,39,85,0.459,11,31,0.355,18,25,0.72,10,49,25,6,7,15,23
52,52,2/5/16,@,UTA,L,81,84,30,71,0.423,7,14,0.5,14,21,0.667,7,41,9,12,7,20,17,,30,77,0.39,8,27,0.296,16,23,0.696,12,45,13,15,8,15,18
53,53,2/9/16,,BOS,W,112,111,45,88,0.511,7,19,0.368,15,23,0.652,11,38,25,5,6,14,20,,39,84,0.464,10,29,0.345,23,24,0.958,13,44,28,11,2,18,23
54,54,2/11/16,,WAS,W,99,92,36,82,0.439,4,14,0.286,23,32,0.719,15,58,24,10,4,18,19,,34,88,0.386,6,32,0.188,18,24,0.75,9,38,25,8,6,14,24
55,55,2/19/16,,CHO,L,95,98,36,81,0.444,7,19,0.368,16,21,0.762,12,47,22,7,11,22,17,,37,86,0.43,9,31,0.29,15,18,0.833,8,37,13,13,6,17,16
56,56,2/20/16,@,ATL,W,117,109,46,104,0.442,3,17,0.176,22,32,0.688,17,65,23,12,10,17,21,,44,106,0.415,9,41,0.22,12,18,0.667,10,49,31,11,8,16,27
57,57,2/22/16,,LAL,W,108,101,44,86,0.512,5,16,0.313,15,25,0.6,7,44,32,10,8,8,27,,28,76,0.368,12,29,0.414,33,43,0.767,11,46,18,7,2,17,24
58,58,2/25/16,@,BOS,L,107,112,42,87,0.483,4,15,0.267,19,25,0.76,7,35,26,9,7,14,27,,41,84,0.488,5,23,0.217,25,33,0.758,9,42,21,9,3,16,21
59,59,2/27/16,,DET,L,91,102,38,78,0.487,7,12,0.583,8,12,0.667,12,44,21,3,7,21,23,,37,88,0.42,12,30,0.4,16,24,0.667,17,46,24,13,2,10,18
60,60,2/29/16,,HOU,W,128,121,48,81,0.593,8,15,0.533,24,33,0.727,10,42,30,12,4,17,24,,41,87,0.471,15,36,0.417,24,35,0.686,16,41,30,12,1,16,24
61,61,3/2/16,,IND,L,99,104,34,76,0.447,3,14,0.214,28,32,0.875,6,37,14,8,1,12,21,,38,80,0.475,10,20,0.5,18,26,0.692,12,49,28,7,6,14,23
62,62,3/4/16,,MIN,W,116,101,43,83,0.518,14,24,0.583,16,20,0.8,9,37,24,13,6,18,19,,42,87,0.483,7,22,0.318,10,14,0.714,15,43,25,9,5,25,22
63,63,3/6/16,,OKC,L,96,104,34,90,0.378,3,19,0.158,25,30,0.833,14,43,22,17,6,10,24,,32,76,0.421,7,25,0.28,33,43,0.767,14,55,27,5,8,21,23
64,64,3/7/16,@,CHI,L,90,100,36,91,0.396,7,18,0.389,11,17,0.647,18,48,24,7,5,11,19,,39,78,0.5,10,25,0.4,12,15,0.8,6,44,35,5,11,18,18
65,65,3/9/16,,MIA,W,114,108,42,80,0.525,4,8,0.5,26,37,0.703,12,34,27,7,0,13,19,,42,80,0.525,6,15,0.4,18,19,0.947,10,39,23,6,8,15,24
66,66,3/12/16,,NOP,W,103,92,40,81,0.494,4,13,0.308,19,24,0.792,5,42,22,11,6,14,16,,35,89,0.393,6,29,0.207,16,21,0.762,11,47,19,7,4,16,19
67,67,3/13/16,@,BRK,W,109,100,45,89,0.506,6,14,0.429,13,21,0.619,15,41,27,13,3,9,12,,39,70,0.557,12,27,0.444,10,13,0.769,3,31,25,3,6,20,18
68,68,3/15/16,,TOR,L,89,107,34,77,0.442,2,13,0.154,19,26,0.731,10,37,18,8,3,7,16,,39,83,0.47,14,30,0.467,15,17,0.882,13,48,27,4,8,9,23
69,69,3/17/16,,MEM,W,96,86,37,75,0.493,5,19,0.263,17,25,0.68,9,44,21,7,17,12,15,,34,92,0.37,3,13,0.231,15,17,0.882,18,47,16,8,3,15,19
70,70,3/20/16,,UTA,L,85,94,34,65,0.523,3,8,0.375,14,17,0.824,2,27,21,10,10,13,11,,34,83,0.41,13,38,0.342,13,14,0.929,16,44,24,8,4,17,13
71,71,3/21/16,@,DET,L,91,92,41,76,0.539,5,9,0.556,4,7,0.571,5,40,23,5,7,13,20,,35,85,0.412,9,33,0.273,13,17,0.765,10,39,18,6,3,12,14
72,72,3/23/16,@,CLE,L,104,113,43,80,0.538,7,16,0.438,11,15,0.733,10,31,23,8,4,14,24,,40,83,0.482,10,34,0.294,23,27,0.852,17,42,29,6,8,12,17
73,73,3/25/16,@,ATL,L,90,101,35,84,0.417,3,13,0.231,17,26,0.654,16,49,16,4,9,15,16,,41,97,0.423,5,32,0.156,14,17,0.824,17,45,26,10,6,11,21
74,74,3/26/16,,CHO,L,91,115,37,84,0.44,4,15,0.267,13,15,0.867,9,37,26,6,3,9,16,,41,74,0.554,16,29,0.552,17,21,0.81,5,35,30,6,8,8,11
75,75,3/30/16,,PHO,W,105,94,37,77,0.481,6,15,0.4,25,34,0.735,9,38,21,13,9,13,23,,38,84,0.452,5,24,0.208,13,17,0.765,15,49,23,6,4,22,23
76,76,4/1/16,,ORL,W,113,110,47,86,0.547,4,17,0.235,15,25,0.6,9,40,31,14,6,16,15,,46,86,0.535,8,24,0.333,10,12,0.833,4,37,34,13,8,20,22
77,77,4/3/16,,CHI,L,98,102,40,85,0.471,2,7,0.286,16,20,0.8,15,44,28,6,7,14,17,,39,74,0.527,7,26,0.269,17,22,0.773,6,34,30,10,4,11,16
78,78,4/5/16,,CLE,L,80,109,35,88,0.398,4,16,0.25,6,12,0.5,12,41,20,7,1,10,14,,41,75,0.547,18,36,0.5,9,10,0.9,2,41,30,4,8,16,14
79,79,4/8/16,@,BOS,L,109,124,41,84,0.488,7,17,0.412,20,29,0.69,7,38,30,10,5,19,27,,44,78,0.564,6,14,0.429,30,38,0.789,4,34,35,6,9,14,23
80,80,4/10/16,@,PHI,W,109,108,40,87,0.46,7,23,0.304,22,24,0.917,8,53,26,10,8,19,19,,39,96,0.406,13,46,0.283,17,25,0.68,13,45,24,12,6,13,19
81,81,4/11/16,@,ORL,L,98,107,41,78,0.526,3,15,0.2,13,19,0.684,13,45,18,6,7,23,20,,41,84,0.488,7,23,0.304,18,28,0.643,12,36,28,19,10,10,15
82,82,4/13/16,,IND,L,92,97,37,87,0.425,7,23,0.304,11,13,0.846,7,43,23,8,3,15,15,,39,90,0.433,11,24,0.458,8,10,0.8,12,48,28,8,3,17,14